,id,class,cap_shape,cap_surface,cap_color,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat,bruises
40,5155,poisonous,convex,scaly,red,foul,free,close,narrow,buff,tapering,?,smooth,smooth,white,white,partial,white,one,evanescent,white,several,wood,No presenta
41,4844,edible,convex,smooth,brown,null,free,close,broad,white,enlarging,?,smooth,smooth,white,white,partial,white,two,evanescent,white,clustered,waste,Bruises
42,3356,edible,flat,fibrous,red,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,wood,Bruises
43,4335,poisonous,convex,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,brown,partial,white,one,large,chocolate,solitary,wood,No presenta
44,946,edible,convex,smooth,yellow,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows,Bruises
45,1807,edible,flat,smooth,green,null,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses,No presenta
46,5140,poisonous,flat,scaly,brown,spicy,free,close,narrow,buff,tapering,?,smooth,smooth,white,white,partial,white,one,evanescent,white,several,wood,No presenta
47,2999,edible,flat,scaly,brown,null,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,solitary,wood,Bruises
48,1104,edible,convex,fibrous,white,null,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,No presenta
49,2068,edible,convex,scaly,red,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,several,wood,Bruises
50,1403,edible,convex,smooth,yellow,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,purple,several,wood,Bruises
51,6494,edible,convex,smooth,white,null,free,crowded,broad,white,enlarging,?,smooth,silky,white,white,partial,white,two,pendant,white,scattered,grasses,No presenta
52,614,edible,flat,scaly,yellow,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,scattered,grasses,Bruises
53,3975,poisonous,flat,scaly,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,pink,partial,white,one,large,chocolate,several,wood,No presenta
54,5098,poisonous,convex,smooth,brown,foul,free,close,narrow,buff,tapering,?,smooth,silky,pink,pink,partial,white,one,evanescent,white,several,wood,No presenta
55,1335,edible,convex,smooth,white,null,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,No presenta
56,5274,poisonous,convex,smooth,brown,spicy,free,close,narrow,buff,tapering,?,silky,smooth,white,pink,partial,white,one,evanescent,white,several,paths,No presenta
57,1652,edible,flat,smooth,green,null,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,No presenta
58,191,edible,convex,scaly,white,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows,Bruises
59,2582,edible,flat,fibrous,green,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,several,wood,Bruises
60,1063,edible,flat,fibrous,brown,null,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,No presenta
61,2313,edible,convex,scaly,brown,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,solitary,wood,Bruises
62,3614,poisonous,convex,fibrous,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,brown,partial,white,one,large,chocolate,solitary,grasses,No presenta
63,3996,poisonous,convex,scaly,brown,fishy,free,close,narrow,buff,tapering,?,silky,smooth,white,pink,partial,white,one,evanescent,white,several,wood,No presenta
64,2273,edible,flat,smooth,white,null,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,No presenta
65,2562,edible,flat,fibrous,brown,null,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,several,wood,Bruises
66,2333,edible,flat,scaly,brown,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,solitary,wood,Bruises
67,4462,poisonous,convex,scaly,brown,fishy,free,close,narrow,buff,tapering,?,silky,smooth,white,white,partial,white,one,evanescent,white,several,wood,No presenta
68,4087,poisonous,convex,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,pink,partial,white,one,large,chocolate,several,wood,No presenta
69,2898,edible,flat,fibrous,brown,null,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,several,wood,Bruises
70,3785,edible,convex,fibrous,red,null,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,black,several,wood,Bruises
71,4349,edible,convex,smooth,pink,null,free,close,broad,white,enlarging,?,smooth,smooth,red,red,partial,white,two,evanescent,white,clustered,waste,Bruises
72,6388,poisonous,knobbed,smooth,red,foul,free,close,narrow,buff,tapering,?,smooth,smooth,white,white,partial,white,one,evanescent,white,several,wood,No presenta
73,490,edible,flat,smooth,brown,null,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,No presenta
74,1200,edible,flat,fibrous,green,null,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,No presenta
75,2282,edible,convex,scaly,red,null,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,solitary,wood,Bruises
76,185,edible,bell,smooth,white,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows,Bruises
77,4668,poisonous,convex,scaly,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,brown,partial,white,one,large,chocolate,several,paths,No presenta
78,5750,edible,flat,smooth,brown,null,attached,close,broad,orange,enlarging,?,smooth,smooth,orange,orange,partial,orange,one,pendant,brown,several,leaves,No presenta
79,1422,edible,flat,smooth,white,null,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,No presenta
80,6574,edible,flat,smooth,brown,null,attached,close,broad,brown,enlarging,?,smooth,smooth,orange,orange,partial,orange,one,pendant,buff,clustered,leaves,No presenta
81,4245,edible,flat,scaly,red,null,free,close,broad,red,enlarging,?,smooth,smooth,white,red,partial,white,two,evanescent,white,clustered,waste,Bruises
82,2229,edible,convex,scaly,red,null,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,brown,solitary,wood,Bruises
83,4081,poisonous,flat,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,pink,partial,white,one,large,chocolate,several,grasses,No presenta
84,6201,poisonous,knobbed,scaly,red,spicy,free,close,narrow,buff,tapering,?,silky,smooth,pink,pink,partial,white,one,evanescent,white,several,paths,No presenta
85,476,edible,flat,scaly,brown,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,paths,Bruises
86,1197,edible,flat,smooth,green,null,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,No presenta
87,588,edible,flat,fibrous,green,null,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,urban,No presenta
88,4751,edible,convex,scaly,brown,null,free,close,broad,red,enlarging,?,smooth,smooth,white,white,partial,white,two,evanescent,white,clustered,waste,Bruises
89,6518,edible,convex,fibrous,white,null,free,crowded,broad,white,enlarging,?,smooth,silky,white,white,partial,white,two,pendant,white,scattered,grasses,No presenta
90,1976,poisonous,convex,smooth,white,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,urban,Bruises
91,2085,edible,flat,fibrous,green,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,solitary,wood,Bruises
92,1385,edible,flat,fibrous,green,null,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses,No presenta
93,1869,edible,convex,fibrous,red,null,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,several,wood,Bruises
94,571,edible,convex,scaly,yellow,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses,Bruises
95,150,edible,convex,scaly,white,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses,Bruises
96,2240,edible,convex,scaly,brown,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,solitary,wood,Bruises
97,3089,poisonous,convex,smooth,white,creosote,free,crowded,narrow,purple,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,wood,No presenta
98,2607,edible,convex,scaly,red,null,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,several,wood,Bruises
99,1393,edible,convex,smooth,white,null,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,No presenta
100,5627,poisonous,convex,smooth,red,fishy,free,close,narrow,buff,tapering,?,smooth,silky,white,white,partial,white,one,evanescent,white,several,leaves,No presenta
101,1209,edible,flat,smooth,white,null,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,No presenta
102,1120,edible,convex,fibrous,red,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,wood,Bruises
103,4255,poisonous,flat,smooth,white,foul,free,close,broad,white,tapering,bulbous,fibrous,fibrous,white,white,partial,white,one,pendant,chocolate,several,grasses,Bruises
104,3920,poisonous,convex,scaly,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,buff,partial,white,one,large,chocolate,solitary,paths,No presenta
105,3250,edible,flat,scaly,brown,null,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,solitary,wood,Bruises
106,393,edible,convex,smooth,white,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows,Bruises
107,2520,edible,convex,scaly,green,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,solitary,wood,Bruises
108,4602,edible,convex,scaly,green,null,free,close,narrow,chocolate,enlarging,?,smooth,fibrous,white,white,partial,white,one,flaring,chocolate,several,wood,No presenta
109,3146,edible,flat,fibrous,green,null,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,brown,several,wood,Bruises
110,4874,edible,flat,fibrous,brown,null,free,crowded,narrow,white,enlarging,bulbous,fibrous,smooth,white,brown,partial,white,one,evanescent,white,several,leaves,No presenta
111,4684,poisonous,convex,scaly,brown,fishy,free,close,narrow,buff,tapering,?,smooth,smooth,pink,pink,partial,white,one,evanescent,white,several,paths,No presenta
112,1997,edible,convex,scaly,green,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,solitary,wood,Bruises
113,3908,edible,knobbed,smooth,pink,null,free,close,broad,red,enlarging,?,smooth,smooth,white,red,partial,white,two,evanescent,white,clustered,waste,Bruises
114,962,edible,flat,smooth,white,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,purple,several,wood,Bruises
115,3419,poisonous,convex,fibrous,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,brown,partial,white,one,large,chocolate,several,paths,No presenta
116,42,edible,convex,scaly,yellow,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows,Bruises
117,2483,edible,flat,fibrous,brown,null,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,several,wood,Bruises
118,4889,poisonous,convex,scaly,brown,spicy,free,close,narrow,buff,tapering,?,silky,smooth,pink,white,partial,white,one,evanescent,white,several,wood,No presenta
119,1021,edible,convex,smooth,yellow,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,wood,Bruises
120,5091,poisonous,flat,smooth,red,fishy,free,close,narrow,buff,tapering,?,smooth,silky,pink,pink,partial,white,one,evanescent,white,several,leaves,No presenta
121,4899,edible,flat,scaly,green,null,free,close,narrow,purple,enlarging,?,smooth,fibrous,white,white,partial,white,one,flaring,chocolate,solitary,wood,No presenta
122,934,edible,convex,fibrous,white,null,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,No presenta
123,5691,edible,convex,smooth,brown,null,free,close,broad,white,enlarging,bulbous,scaly,scaly,brown,brown,partial,white,two,pendant,white,solitary,wood,No presenta
124,3333,poisonous,convex,fibrous,pink,creosote,free,close,narrow,purple,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,wood,No presenta
125,1624,edible,convex,fibrous,brown,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,black,solitary,wood,Bruises
126,1794,edible,convex,fibrous,brown,null,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,solitary,wood,Bruises
127,2425,edible,convex,scaly,brown,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,black,solitary,wood,Bruises
128,3227,poisonous,convex,smooth,green,creosote,free,close,narrow,brown,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,wood,No presenta
129,2423,edible,convex,scaly,green,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,several,wood,Bruises
130,1184,edible,flat,fibrous,green,null,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,abundant,grasses,No presenta
131,4442,poisonous,convex,smooth,green,foul,free,close,broad,chocolate,tapering,bulbous,smooth,fibrous,white,white,partial,white,one,pendant,chocolate,scattered,grasses,Bruises
132,5802,poisonous,flat,smooth,brown,fishy,free,close,narrow,buff,tapering,?,silky,smooth,pink,white,partial,white,one,evanescent,white,several,wood,No presenta
133,2763,edible,flat,fibrous,red,null,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,solitary,wood,Bruises
134,4796,edible,convex,fibrous,cinnamon,null,free,crowded,narrow,white,enlarging,bulbous,smooth,fibrous,white,brown,partial,white,one,evanescent,white,several,leaves,No presenta
135,4302,poisonous,flat,smooth,buff,foul,free,close,broad,white,tapering,bulbous,fibrous,smooth,white,white,partial,white,one,pendant,chocolate,scattered,urban,Bruises
136,3878,poisonous,convex,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,buff,partial,white,one,large,chocolate,solitary,wood,No presenta
137,4656,poisonous,flat,scaly,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown,partial,white,one,large,chocolate,several,wood,No presenta
138,6008,poisonous,knobbed,smooth,brown,foul,free,close,narrow,buff,tapering,?,silky,smooth,pink,pink,partial,white,one,evanescent,white,several,leaves,No presenta
139,6502,edible,knobbed,smooth,white,null,free,crowded,broad,white,enlarging,?,smooth,silky,white,white,partial,white,two,pendant,white,scattered,grasses,No presenta
140,1787,edible,convex,scaly,green,null,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,wood,Bruises
141,164,edible,bell,smooth,yellow,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses,Bruises
142,5009,poisonous,flat,scaly,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,pink,partial,white,one,large,chocolate,solitary,wood,No presenta
143,404,edible,flat,fibrous,green,null,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,No presenta
144,1779,edible,convex,smooth,brown,null,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,No presenta
145,3261,edible,flat,scaly,green,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,several,wood,Bruises
146,5173,poisonous,convex,smooth,red,foul,free,close,narrow,buff,tapering,?,silky,silky,pink,pink,partial,white,one,evanescent,white,several,paths,No presenta
147,6093,poisonous,knobbed,smooth,brown,spicy,free,close,narrow,buff,tapering,?,silky,smooth,pink,white,partial,white,one,evanescent,white,several,wood,No presenta
148,5165,poisonous,flat,smooth,red,foul,free,close,narrow,buff,tapering,?,silky,smooth,pink,pink,partial,white,one,evanescent,white,several,leaves,No presenta
149,935,edible,flat,fibrous,brown,null,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,No presenta
150,3939,poisonous,convex,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,buff,partial,white,one,large,chocolate,several,wood,No presenta
151,3961,poisonous,flat,scaly,green,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,pink,partial,white,one,large,chocolate,solitary,wood,No presenta
152,1158,edible,flat,smooth,brown,null,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,No presenta
153,6094,poisonous,knobbed,scaly,red,fishy,free,close,narrow,buff,tapering,?,smooth,silky,pink,white,partial,white,one,evanescent,white,several,paths,No presenta
154,4509,poisonous,convex,scaly,brown,fishy,free,close,narrow,buff,tapering,?,smooth,smooth,white,pink,partial,white,one,evanescent,white,several,wood,No presenta
155,5881,edible,flat,smooth,brown,null,attached,close,broad,yellow,enlarging,?,smooth,smooth,orange,orange,partial,orange,one,pendant,yellow,several,leaves,No presenta
156,6271,edible,bell,fibrous,green,null,free,crowded,broad,pink,enlarging,?,smooth,smooth,white,white,partial,white,two,pendant,white,numerous,grasses,No presenta
157,1629,edible,convex,fibrous,green,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,several,wood,Bruises
158,135,edible,sunken,fibrous,brown,null,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,urban,No presenta
159,5295,edible,knobbed,fibrous,white,null,free,crowded,broad,pink,enlarging,?,silky,silky,white,white,partial,white,two,pendant,white,numerous,grasses,No presenta
160,5010,poisonous,flat,scaly,green,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,pink,partial,white,one,large,chocolate,solitary,paths,No presenta
161,2289,edible,flat,fibrous,brown,null,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,several,wood,Bruises
162,5747,poisonous,knobbed,scaly,red,spicy,free,close,narrow,buff,tapering,?,silky,smooth,white,pink,partial,white,one,evanescent,white,several,paths,No presenta
163,5930,poisonous,knobbed,scaly,brown,foul,free,close,narrow,buff,tapering,?,silky,smooth,pink,white,partial,white,one,evanescent,white,several,leaves,No presenta
164,5013,poisonous,convex,scaly,brown,fishy,free,close,narrow,buff,tapering,?,smooth,smooth,pink,white,partial,white,one,evanescent,white,several,paths,No presenta
165,5055,edible,convex,scaly,white,null,free,close,narrow,pink,enlarging,?,smooth,fibrous,white,white,partial,white,one,flaring,chocolate,solitary,wood,No presenta
166,3536,edible,flat,scaly,brown,null,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,black,solitary,wood,Bruises
167,2126,edible,convex,scaly,green,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,solitary,wood,Bruises
168,2900,edible,flat,fibrous,red,null,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,solitary,wood,Bruises
169,5412,poisonous,convex,smooth,red,spicy,free,close,narrow,buff,tapering,?,smooth,silky,pink,white,partial,white,one,evanescent,white,several,wood,No presenta
170,517,edible,convex,fibrous,white,null,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,No presenta
171,5370,poisonous,convex,smooth,brown,foul,free,close,narrow,buff,tapering,?,silky,smooth,white,pink,partial,white,one,evanescent,white,several,leaves,No presenta
172,5244,poisonous,flat,scaly,brown,foul,free,close,narrow,buff,tapering,?,smooth,silky,white,white,partial,white,one,evanescent,white,several,paths,No presenta
173,2979,edible,flat,scaly,brown,null,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,solitary,wood,Bruises
174,2675,edible,convex,scaly,red,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,solitary,wood,Bruises
175,2686,edible,convex,scaly,brown,null,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,solitary,wood,Bruises
