"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label"
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Extremely poor < USD 2.15 PPP","2021",449.709,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2021",1448.561,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: >= USD 3.65 PPP","2021",414546.273,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Total","2020",411452.597,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Extremely poor < USD 2.15 PPP","2020",493.296,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2020",1708.988,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: >= USD 3.65 PPP","2020",409250.313,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Total","2019",418601.206,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Extremely poor < USD 2.15 PPP","2019",460.397,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2019",1630.783,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: >= USD 3.65 PPP","2019",416510.026,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15-24","Economic class: Total","2019",36640.948,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15-24","Economic class: Extremely poor < USD 2.15 PPP","2019",58.492,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15-24","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2019",257.979,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15-24","Economic class: >= USD 3.65 PPP","2019",36324.476,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 25+","Economic class: Total","2019",381960.258,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 25+","Economic class: Extremely poor < USD 2.15 PPP","2019",401.906,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 25+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2019",1372.805,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 25+","Economic class: >= USD 3.65 PPP","2019",380185.549,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15+","Economic class: Total","2019",228772.088,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15+","Economic class: Extremely poor < USD 2.15 PPP","2019",273.362,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2019",960.264,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15+","Economic class: >= USD 3.65 PPP","2019",227538.462,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15-24","Economic class: Total","2019",20731.984,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15-24","Economic class: Extremely poor < USD 2.15 PPP","2019",33.091,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15-24","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2019",150.546,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15-24","Economic class: >= USD 3.65 PPP","2019",20548.346,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 25+","Economic class: Total","2019",208040.104,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 25+","Economic class: Extremely poor < USD 2.15 PPP","2019",240.27,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 25+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2019",809.718,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 25+","Economic class: >= USD 3.65 PPP","2019",206990.116,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15+","Economic class: Total","2019",189829.118,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15+","Economic class: Extremely poor < USD 2.15 PPP","2019",187.036,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2019",670.52,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15+","Economic class: >= USD 3.65 PPP","2019",188971.564,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15-24","Economic class: Total","2019",15908.964,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15-24","Economic class: Extremely poor < USD 2.15 PPP","2019",25.4,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15-24","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2019",107.433,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15-24","Economic class: >= USD 3.65 PPP","2019",15776.13,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 25+","Economic class: Total","2019",173920.154,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 25+","Economic class: Extremely poor < USD 2.15 PPP","2019",161.635,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 25+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2019",563.087,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 25+","Economic class: >= USD 3.65 PPP","2019",173195.433,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Total","2018",416720.869,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Extremely poor < USD 2.15 PPP","2018",503.449,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2018",1628.295,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: >= USD 3.65 PPP","2018",414589.125,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15-24","Economic class: Total","2018",37013.511,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15-24","Economic class: Extremely poor < USD 2.15 PPP","2018",65.657,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15-24","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2018",259.276,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15-24","Economic class: >= USD 3.65 PPP","2018",36688.576,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 25+","Economic class: Total","2018",379707.358,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 25+","Economic class: Extremely poor < USD 2.15 PPP","2018",437.792,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 25+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2018",1369.018,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 25+","Economic class: >= USD 3.65 PPP","2018",377900.549,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15+","Economic class: Total","2018",227985.995,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15+","Economic class: Extremely poor < USD 2.15 PPP","2018",298.154,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2018",944.993,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15+","Economic class: >= USD 3.65 PPP","2018",226742.847,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15-24","Economic class: Total","2018",21044.583,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15-24","Economic class: Extremely poor < USD 2.15 PPP","2018",36.569,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15-24","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2018",150.578,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15-24","Economic class: >= USD 3.65 PPP","2018",20857.435,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 25+","Economic class: Total","2018",206941.412,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 25+","Economic class: Extremely poor < USD 2.15 PPP","2018",261.585,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 25+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2018",794.415,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 25+","Economic class: >= USD 3.65 PPP","2018",205885.412,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15+","Economic class: Total","2018",188734.874,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15+","Economic class: Extremely poor < USD 2.15 PPP","2018",205.295,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2018",683.302,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15+","Economic class: >= USD 3.65 PPP","2018",187846.278,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15-24","Economic class: Total","2018",15968.928,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15-24","Economic class: Extremely poor < USD 2.15 PPP","2018",29.088,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15-24","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2018",108.698,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15-24","Economic class: >= USD 3.65 PPP","2018",15831.141,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 25+","Economic class: Total","2018",172765.946,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 25+","Economic class: Extremely poor < USD 2.15 PPP","2018",176.207,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 25+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2018",574.603,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 25+","Economic class: >= USD 3.65 PPP","2018",172015.137,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Total","2017",411940.481,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Extremely poor < USD 2.15 PPP","2017",570.511,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2017",1845.41,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: >= USD 3.65 PPP","2017",409524.56,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15-24","Economic class: Total","2017",37011.177,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15-24","Economic class: Extremely poor < USD 2.15 PPP","2017",78.157,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15-24","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2017",300.442,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15-24","Economic class: >= USD 3.65 PPP","2017",36632.576,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 25+","Economic class: Total","2017",374929.304,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 25+","Economic class: Extremely poor < USD 2.15 PPP","2017",492.354,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 25+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2017",1544.968,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 25+","Economic class: >= USD 3.65 PPP","2017",372891.983,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15+","Economic class: Total","2017",225278.574,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15+","Economic class: Extremely poor < USD 2.15 PPP","2017",337.356,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2017",1072.082,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15+","Economic class: >= USD 3.65 PPP","2017",223869.136,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15-24","Economic class: Total","2017",20926.899,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15-24","Economic class: Extremely poor < USD 2.15 PPP","2017",44.681,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15-24","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2017",175.218,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 15-24","Economic class: >= USD 3.65 PPP","2017",20706.999,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 25+","Economic class: Total","2017",204351.675,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 25+","Economic class: Extremely poor < USD 2.15 PPP","2017",292.675,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 25+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2017",896.863,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Male","Age (Youth, adults): 25+","Economic class: >= USD 3.65 PPP","2017",203162.137,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15+","Economic class: Total","2017",186661.907,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15+","Economic class: Extremely poor < USD 2.15 PPP","2017",233.155,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2017",773.329,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15+","Economic class: >= USD 3.65 PPP","2017",185655.423,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15-24","Economic class: Total","2017",16084.278,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15-24","Economic class: Extremely poor < USD 2.15 PPP","2017",33.476,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Female","Age (Youth, adults): 15-24","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2017",125.224,
