"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value"
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15+","2018",0.109
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15-24","2018",0.182
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 25+","2018",0.102
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2017",0.138
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15-24","2017",0.211
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 25+","2017",0.131
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15+","2017",0.15
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15-24","2017",0.214
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 25+","2017",0.143
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15+","2017",0.125
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15-24","2017",0.208
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 25+","2017",0.117
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2016",0.144
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15-24","2016",0.226
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 25+","2016",0.136
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15+","2016",0.156
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15-24","2016",0.224
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 25+","2016",0.149
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15+","2016",0.13
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15-24","2016",0.23
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 25+","2016",0.121
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2015",0.166
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15-24","2015",0.275
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 25+","2015",0.155
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15+","2015",0.181
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15-24","2015",0.273
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 25+","2015",0.172
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15+","2015",0.148
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15-24","2015",0.277
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 25+","2015",0.136
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2014",0.178
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15-24","2014",0.284
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 25+","2014",0.166
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15+","2014",0.195
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15-24","2014",0.284
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 25+","2014",0.186
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15+","2014",0.156
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15-24","2014",0.283
"Europe and Central Asia","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 25+","2014",0.144
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2024",1.112
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2023",1.236
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2022",1.306
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2021",1.43
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2020",1.677
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2019",1.583
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15-24","2019",1.489
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 25+","2019",1.599
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15+","2019",1.634
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15-24","2019",1.355
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 25+","2019",1.681
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15+","2019",1.495
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15-24","2019",1.741
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 25+","2019",1.456
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2018",1.732
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15-24","2018",1.633
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 25+","2018",1.75
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15+","2018",1.798
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15-24","2018",1.477
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 25+","2018",1.855
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15+","2018",1.619
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15-24","2018",1.92
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 25+","2018",1.569
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2017",1.985
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15-24","2017",1.906
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 25+","2017",1.999
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15+","2017",2.057
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15-24","2017",1.745
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 25+","2017",2.114
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15+","2017",1.862
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15-24","2017",2.195
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 25+","2017",1.804
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2016",2.118
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15-24","2016",2.001
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 25+","2016",2.14
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15+","2016",2.208
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15-24","2016",1.845
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 25+","2016",2.278
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15+","2016",1.967
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15-24","2016",2.274
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 25+","2016",1.91
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2015",2.543
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15-24","2015",2.457
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 25+","2015",2.56
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15+","2015",2.676
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15-24","2015",2.303
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 25+","2015",2.752
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15+","2015",2.321
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15-24","2015",2.721
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 25+","2015",2.242
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2014",2.654
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15-24","2014",2.4
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 25+","2014",2.707
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15+","2014",2.851
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15-24","2014",2.3
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 25+","2014",2.969
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15+","2014",2.325
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15-24","2014",2.573
"Europe and Central Asia: Lower-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 25+","2014",2.274
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2024",0.192
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2023",0.209
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2022",0.241
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2021",0.233
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2020",0.246
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2019",0.217
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15-24","2019",0.245
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 25+","2019",0.214
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15+","2019",0.188
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15-24","2019",0.209
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 25+","2019",0.185
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15+","2019",0.258
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 15-24","2019",0.3
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Female","Age (Youth, adults): 25+","2019",0.254
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15+","2018",0.243
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 15-24","2018",0.262
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Total","Age (Youth, adults): 25+","2018",0.24
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15+","2018",0.209
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 15-24","2018",0.216
"Europe and Central Asia: Upper-middle income","ILO - Modelled Estimates","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)","Sex: Male","Age (Youth, adults): 25+","2018",0.208
